Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,LPC4088
3,Process,Flowchart Shapes,1,,,,,,,Speed Sensor (R)
4,Process,Flowchart Shapes,1,,,,,,,Speed Sensor (L)
5,Process,Flowchart Shapes,1,,,,,,,Motor Controller
6,Process,Flowchart Shapes,1,,,,,,,LED (FR)
7,Process,Flowchart Shapes,1,,,,,,,LED (FL)
8,Process,Flowchart Shapes,1,,,,,,,LED (BR)
9,Process,Flowchart Shapes,1,,,,,,,LED (BL)
10,Process,Flowchart Shapes,1,,,,,,,Motor (FR) 
11,Process,Flowchart Shapes,1,,,,,,,Motor (FL) 
12,Process,Flowchart Shapes,1,,,,,,,Motor (BR) 
13,Process,Flowchart Shapes,1,,,,,,,Motor (BL) 
14,Process,Flowchart Shapes,1,,,,,,,Joystick
15,Line,,1,,,2,5,CFN ERD One Arrow,Arrow,
16,Line,,1,,,3,2,None,Arrow,
17,Line,,1,,,4,2,None,Arrow,
18,Line,,1,,,2,6,None,Arrow,
19,Line,,1,,,2,7,None,Arrow,
20,Line,,1,,,2,8,None,Arrow,
21,Line,,1,,,2,9,None,Arrow,
22,Line,,1,,,5,11,None,Arrow,
23,Line,,1,,,5,12,None,Arrow,
24,Line,,1,,,5,10,None,Arrow,
25,Line,,1,,,5,13,None,Arrow,
26,Line,,1,,,14,2,CFN ERD One Arrow,Arrow,
