Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,LPC4088
3,Process,Flowchart Shapes,1,,,,,,,Speed Sensor (R)
4,Process,Flowchart Shapes,1,,,,,,,Speed Sensor (L)
5,Process,Flowchart Shapes,1,,,,,,,Motor Controller
6,Process,Flowchart Shapes,1,,,,,,,LED (FR)
7,Process,Flowchart Shapes,1,,,,,,,LED (FL)
8,Process,Flowchart Shapes,1,,,,,,,LED (BR)
9,Process,Flowchart Shapes,1,,,,,,,LED (BL)
10,Process,Flowchart Shapes,1,,,,,,,Motor (FR) 
11,Process,Flowchart Shapes,1,,,,,,,Motor (BR) 
12,Process,Flowchart Shapes,1,,,,,,,Motor (FL) 
13,Process,Flowchart Shapes,1,,,,,,,Motor (BL) 
14,Process,Flowchart Shapes,1,,,,,,,Joystick
15,Process,Flowchart Shapes,1,,,,,,,GPIO
16,Process,Flowchart Shapes,1,,,,,,,GPIO
17,Process,Flowchart Shapes,1,,,,,,,GPIO
18,Process,Flowchart Shapes,1,,,,,,,GPIO
19,Process,Flowchart Shapes,1,,,,,,,GPIO
20,Process,Flowchart Shapes,1,,,,,,,GPIO
21,Process,Flowchart Shapes,1,,,,,,,GPIO
22,Process,Flowchart Shapes,1,,,,,,,PWM
23,Line,,1,,,2,5,CFN ERD One Arrow,Arrow,
24,Line,,1,,,3,2,None,Arrow,
25,Line,,1,,,4,2,None,Arrow,
26,Line,,1,,,2,6,None,Arrow,
27,Line,,1,,,2,7,None,Arrow,
28,Line,,1,,,2,8,None,Arrow,
29,Line,,1,,,2,9,None,Arrow,
30,Line,,1,,,5,11,None,Arrow,
31,Line,,1,,,5,12,None,Arrow,
32,Line,,1,,,5,10,None,Arrow,
33,Line,,1,,,5,13,None,Arrow,
34,Line,,1,,,14,2,CFN ERD One Arrow,Arrow,
